"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Jake LaRavia,,2.9,1.0,0.5,,
Charles Jones,92.1,2.9,0.9,0.6,0.1,
Dick Schulz,90.6,2.9,0.8,0.6,0.0,
Dennis Hamilton,87.9,2.8,0.7,0.5,0.0,
Justin Champagnie,87.8,2.8,0.8,0.3,0.0,
Jordan Bell,85.9,2.9,1.6,0.4,0.0,0.0
Kenny Fields,85.2,2.8,0.7,0.7,0.0,
Jeff Adrien,84.6,2.7,1.0,0.4,0.2,0.1
Sam Young,83.4,2.9,1.2,0.9,0.2,
Walter Herrmann,82.3,2.4,1.0,0.7,,
Jeremy Sochan,82.0,2.7,1.4,0.2,,
