Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2004-05,26,WAS,NBA,C,8.0,0.0,126.0,19.0,29.0,0.655,0.0,0.0,19.0,29.0,0.655,0.655,10.0,22.0,0.455,12.0,24.0,36.0,2.0,0.0,7.0,9.0,23.0,48.0,0.0,
2005-06,27,WAS,NBA,C,3.0,0.0,18.0,2.0,5.0,0.4,0.0,0.0,2.0,5.0,0.4,0.4,2.0,4.0,0.5,2.0,4.0,6.0,0.0,2.0,2.0,0.0,3.0,6.0,0.0,
2006-07,28,WAS,NBA,C,4.0,4.0,84.0,7.0,17.0,0.412,0.0,0.0,7.0,17.0,0.412,0.412,6.0,9.0,0.667,2.0,20.0,22.0,1.0,2.0,3.0,6.0,9.0,20.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,31,OKC,NBA,C,2.0,0.0,17.0,5.0,6.0,0.833,0.0,0.0,5.0,6.0,0.833,0.833,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,12.0,0.0,
2010-11,32,ATL,NBA,C,1.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,18.0,4.0,252.0,33.0,59.0,0.559,0.0,0.0,33.0,59.0,0.559,0.559,20.0,37.0,0.541,18.0,51.0,69.0,3.0,4.0,12.0,16.0,37.0,86.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,18.0,1148.0,150.0,269.0,0.559,0.0,0.0,150.0,269.0,0.559,0.559,91.0,169.0,0.541,82.0,232.0,314.0,14.0,18.0,55.0,73.0,169.0,392.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS (3 Yrs),WAS (3 Yrs),WAS (3 Yrs),WAS (3 Yrs),,15.0,4.0,228.0,28.0,51.0,0.549,0.0,0.0,28.0,51.0,0.549,0.549,18.0,35.0,0.514,16.0,48.0,64.0,3.0,4.0,12.0,15.0,35.0,74.0,0.0,
OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),,2.0,0.0,17.0,5.0,6.0,0.833,0.0,0.0,5.0,6.0,0.833,0.833,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,12.0,0.0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,1.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
