"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Kenneth Faried,,7.8,6.5,5.6,5.5,4.6,4.5,2.9,1.3,,,
Lonnie Shelton,91.6,7.5,5.9,5.8,5.1,4.8,4.6,2.1,0.9,0.5,0.1,
Jim Pollard,89.8,7.2,5.7,5.7,5.4,4.6,4.2,2.1,,,,
Wil Jones,89.6,7.4,6.9,6.0,5.4,4.0,3.7,2.3,0.9,0.6,,
Loy Vaught,89.0,6.3,6.3,5.5,5.5,4.2,4.1,2.2,1.0,0.5,0.2,-0.2
Kevon Looney,88.0,8.7,6.8,6.0,4.3,4.0,3.4,2.8,1.4,0.1,0.0,
Jerome Williams,87.9,7.6,5.4,5.0,4.8,4.5,4.3,3.5,2.6,0.2,,
Cincy Powell,87.8,8.1,7.0,6.8,6.4,5.4,4.3,3.0,0.1,,,
John Collins,87.2,6.7,6.0,5.4,5.1,4.9,4.4,4.2,2.5,,,
Gus Johnson,87.0,7.2,5.9,5.3,5.1,5.0,3.5,2.2,1.6,0.9,0.1,
Sidney Wicks,86.7,9.7,7.1,6.1,5.6,5.6,4.2,2.3,1.5,0.4,-0.1,
