"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Miles Bridges,,7.2,4.2,3.2,2.9,2.2,1.6
Jalen Rose,96.4,7.3,3.8,3.3,2.9,2.1,1.8
Devin Booker,89.9,7.5,4.9,3.5,2.4,2.0,1.9
Tyler Herro,89.2,7.4,3.8,3.5,2.0,1.7,1.6
George Senesky,88.7,6.2,4.4,3.6,2.6,2.3,2.0
Dejounte Murray,87.7,7.3,4.7,3.3,3.2,2.6,0.0
Larry Miller,87.3,6.2,3.4,3.2,3.0,2.4,1.3
Darwin Cook,87.2,6.0,3.9,3.6,3.0,2.7,1.6
Larry Drew,86.9,7.2,4.6,3.6,3.0,2.8,0.0
Josh Hart,86.9,6.0,4.4,3.4,3.1,2.7,2.1
Å arÅ«nas MarÄiulionis,86.7,6.4,3.8,3.0,2.6,2.5,2.3
