"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Karl-Anthony Towns,,14.0,12.7,10.4,10.3,10.1,8.3,6.3,5.4,5.1,2.7
Bob Lanier,90.6,14.4,12.4,10.6,10.3,10.1,10.1,8.4,7.4,5.9,5.2
Dave Cowens,90.5,12.0,10.8,10.7,10.4,9.5,9.3,6.4,5.4,4.8,4.4
Robert Parish,87.8,10.9,10.8,10.5,10.0,9.2,9.0,7.1,4.8,4.6,4.0
Zelmo Beaty,87.4,16.0,15.1,11.8,10.8,10.3,9.0,8.4,5.2,4.8,4.5
Rudy Gobert,86.5,14.4,14.3,11.7,11.3,10.7,9.3,8.1,7.8,6.4,0.4
Wes Unseld,86.4,11.1,10.8,10.7,10.6,10.0,9.5,8.3,6.8,6.2,3.6
DeAndre Jordan,86.3,12.8,11.8,11.5,11.1,9.4,6.2,5.6,5.2,1.5,1.3
Patrick Ewing,85.6,13.5,13.1,13.0,10.9,10.6,10.0,9.6,8.1,3.5,3.1
Pau Gasol,84.7,14.7,13.9,12.0,11.0,8.5,8.4,8.1,7.6,6.9,6.8
Willis Reed,83.0,14.7,14.6,10.6,10.0,7.9,5.8,5.5,3.6,1.5,0.6
