"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Lance Stephenson,,7.4,5.5,2.2,1.8,1.1,0.8,0.1,-0.2,-0.3,-0.9,,
George Lehmann,82.0,7.3,5.9,2.5,2.3,0.7,0.0,0.0,,,,,
Bobby Simmons,78.9,6.8,5.3,3.4,2.0,0.9,0.7,0.7,0.3,0.1,0.0,,
Paul Walther,76.9,6.6,5.2,3.1,2.2,2.0,1.3,,,,,,
Tyler Herro,72.6,7.4,3.8,3.5,2.0,1.7,1.6,,,,,,
Payton Pritchard,72.1,8.6,6.1,3.1,2.5,0.6,,,,,,,
Mike James,72.0,7.6,5.2,4.3,2.8,1.8,0.4,0.3,0.3,0.0,-0.1,-0.1,-0.1
Tyler Johnson,70.0,5.8,4.2,2.3,2.0,0.8,0.7,0.7,0.1,,,,
Miles Bridges,69.9,7.2,4.2,3.2,2.9,2.2,1.6,,,,,,
Grayson Allen,69.6,6.9,5.1,4.2,2.7,2.5,1.2,0.0,,,,,
Randy Wittman,69.0,5.9,4.2,3.5,1.6,1.2,0.7,0.0,0.0,0.0,,,
