"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Aaron Holiday,,2.5,2.1,2.0,1.5,0.9,0.9,0.2
Alonzo Gee,91.0,2.4,1.9,1.9,1.2,1.0,0.9,0.4
Jon Barry,89.0,2.4,2.4,2.1,1.8,1.1,0.9,-0.1
Ledell Eackles,88.4,2.4,2.1,2.0,1.2,1.0,1.0,1.0
Al Bianchi,88.2,2.4,1.9,1.8,1.5,0.8,0.8,-0.1
Garrison Mathews,86.0,2.8,2.3,1.6,1.5,1.0,0.6,
Jordan McLaughlin,86.0,2.5,2.3,1.6,1.3,1.2,0.6,
Trey Burke,85.9,2.4,2.4,2.1,1.9,1.3,0.9,0.5
Josh Okogie,85.2,2.8,2.2,2.1,1.3,1.3,1.2,0.7
Anthony Bowie,84.2,2.9,2.5,2.0,1.6,1.3,0.7,0.5
Si Green,84.2,2.6,2.6,1.6,1.1,1.0,0.8,0.4
