"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Jarred Vanderbilt,,6.0,5.2,3.1,1.4,1.1,0.1,0.0
Bob Lavoy,85.3,5.8,5.8,3.4,1.0,,,
Jamario Moon,85.1,5.7,4.9,2.9,1.1,-0.3,,
Jaden McDaniels,85.0,6.3,4.4,3.4,2.4,1.4,,
Stan McKenzie,84.3,6.1,5.3,2.4,0.6,0.2,0.1,-0.1
Bob Harris,83.0,5.0,4.3,3.4,1.9,1.0,,
Grant Williams,82.0,5.1,4.4,2.6,1.6,1.1,0.7,
Fred Hetzel,81.7,5.1,4.5,2.9,2.0,0.9,0.5,
Jack Kerris,81.7,5.9,5.7,4.1,2.1,,,
Monk Meineke,81.7,6.1,3.7,2.6,1.8,0.7,,
Ed Ratleff,81.2,5.6,4.5,2.1,1.0,0.5,,
