"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Archie Goodwin,,0.7,0.2,0.2,0.1
Brandon Goodwin,85.5,0.7,0.2,0.1,0.0
Connie Norman,81.2,0.8,0.2,0.2,
A.J. Lawson,77.3,0.8,0.2,0.1,
Greg Graham,75.3,0.8,0.3,0.3,0.1
Admiral Schofield,73.9,0.8,0.3,0.1,0.0
Jared Rhoden,73.8,0.6,0.3,0.1,
Terry Duerod,73.7,0.7,0.2,0.2,-0.2
Tom Ingelsby,73.1,0.7,0.1,0.0,
Othyus Jeffers,72.8,0.7,0.1,0.1,
Morlon Wiley,72.2,0.9,0.2,0.1,0.1
