"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Julian Wright,,1.7,0.8,0.8,0.6
Byron Houston,89.1,1.8,0.9,0.7,0.5
Timoth̩ Luwawu-Cabarrot,88.3,1.7,0.8,0.8,0.2
Nassir Little,87.5,1.7,1.1,0.7,0.6
D.J. White,86.2,1.8,0.8,0.6,0.4
Bob Portman,83.2,1.9,1.2,0.8,0.5
Jarell Martin,82.3,1.3,0.8,0.6,0.5
Darvin Ham,81.8,1.7,0.9,0.9,0.1
Henry Walker,81.5,1.9,1.1,0.9,0.5
Chris Crawford,81.4,1.3,0.9,0.6,0.6
Charles Davis,80.6,1.5,1.0,0.9,0.3
