"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Al Thornton,,2.2,1.6,1.3,1.1
Joe Bryant,96.2,2.2,1.5,1.3,1.2
Thon Maker,90.6,2.0,1.5,1.5,1.3
Corie Blount,89.5,2.5,1.7,1.2,0.9
Quincy Acy,88.6,2.5,1.7,1.5,1.1
Robert Traylor,88.3,2.5,1.9,1.2,1.0
Jason Smith,87.9,2.2,1.6,1.5,0.7
Zeke Nnaji,87.3,1.8,1.6,1.2,0.9
Jericho Sims,87.2,2.6,1.5,1.5,1.3
Mark Bryant,86.1,2.1,2.1,1.1,1.0
Pete Chilcutt,85.8,2.1,1.5,1.0,0.7
