"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Andrew Nicholson,,1.7,1.6,0.6,0.1,-0.1
Jan VeselÃ½,92.3,1.7,1.6,0.7,,
Wes Iwundu,90.0,1.9,1.7,0.7,0.1,0.0
Charles Pittman,87.9,1.7,1.5,0.9,0.1,
Dominic McGuire,83.8,1.7,1.5,0.9,0.0,-0.2
Kris Humphries,83.7,1.8,1.5,0.7,0.2,-0.3
Yuta Watanabe,82.1,2.1,1.5,0.7,0.1,-0.2
Tony Brown,81.4,1.8,1.3,0.5,0.2,0.0
Brian Scalabrine,80.2,1.7,1.4,1.0,0.3,-0.1
Chimezie Metu,80.0,2.1,1.5,0.6,0.3,-0.3
Donnell Harvey,79.4,2.0,1.8,0.7,0.2,0.1
