Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2020-21,22,POR,NBA,C,1,0,4,0,1,0.0,0,0,0,1,0.0,0.0,0,0,2,1,3,0,0,0,3,0,0,0,
1 Yr,1 Yr,1 Yr,1 Yr,,1,0,4,0,1,0.0,0,0,0,1,0.0,0.0,0,0,2,1,3,0,0,0,3,0,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,328,0,82,0.0,0,0,0,82,0.0,0.0,0,0,164,82,246,0,0,0,246,0,0,0,
