Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2008-09,24,DAL,NBA,C,9.0,0.0,84.0,8.0,14.0,0.571,0.0,0.0,8.0,14.0,0.571,0.571,6.0,10.0,0.6,9.0,15.0,24.0,1.0,1.0,4.0,4.0,22.0,22.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12,27,BOS,NBA,C,17.0,0.0,170.0,11.0,26.0,0.423,0.0,0.0,11.0,26.0,0.423,0.423,4.0,9.0,0.444,16.0,11.0,27.0,8.0,0.0,8.0,7.0,29.0,26.0,0.0,
2012-13,28,LAC,NBA,C,5.0,0.0,37.0,5.0,9.0,0.556,0.0,0.0,5.0,9.0,0.556,0.556,1.0,2.0,0.5,3.0,2.0,5.0,2.0,0.0,2.0,2.0,10.0,11.0,0.0,
2013-14,29,LAC,NBA,PF,5.0,0.0,9.0,1.0,4.0,0.25,0.0,0.0,1.0,4.0,0.25,0.25,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,36.0,0.0,300.0,25.0,53.0,0.472,0.0,0.0,25.0,53.0,0.472,0.472,12.0,22.0,0.545,29.0,30.0,59.0,11.0,1.0,14.0,14.0,64.0,62.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,683.0,57.0,121.0,0.472,0.0,0.0,57.0,121.0,0.472,0.472,27.0,50.0,0.545,66.0,68.0,134.0,25.0,2.0,32.0,32.0,146.0,141.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),,10.0,0.0,46.0,6.0,13.0,0.462,0.0,0.0,6.0,13.0,0.462,0.462,2.0,3.0,0.667,4.0,4.0,8.0,2.0,0.0,2.0,3.0,13.0,14.0,0.0,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,17.0,0.0,170.0,11.0,26.0,0.423,0.0,0.0,11.0,26.0,0.423,0.423,4.0,9.0,0.444,16.0,11.0,27.0,8.0,0.0,8.0,7.0,29.0,26.0,0.0,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,9.0,0.0,84.0,8.0,14.0,0.571,0.0,0.0,8.0,14.0,0.571,0.571,6.0,10.0,0.6,9.0,15.0,24.0,1.0,1.0,4.0,4.0,22.0,22.0,0.0,
