Season,Team,Lg,Salary
2006-07,Charlotte Bobcats,NBA,"$412,718"
2007-08,Charlotte Bobcats,NBA,"$687,456"
2008-09,Dallas Mavericks,NBA,"$972,581"
2009-10,Minnesota Timberwolves,NBA,"$2,183,333"
2010-11,Cleveland Cavaliers,NBA,"$2,333,333"
2011-12,Cleveland Cavaliers,NBA,"$2,483,333"
2012-13,Los Angeles Clippers,NBA,"$1,069,509"
2013-14,Los Angeles Clippers,NBA,"$1,186,459"
2014-15,Sacramento Kings,NBA,"$1,316,809"
2015-16,Memphis Grizzlies,NBA,"$593,056"
2015-16,Washington Wizards,NBA,"$176,375"
Career,(may be incomplete),,"$13,414,962"
