"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2008-09,24,DAL,NBA,C,9.0,0.0,84.0,0.571,0.571,0.571,0.6,0.598,0.714,0.0,125.0,118.0,114.0,78.0,110.0,234.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2011-12,27,BOS,NBA,C,17.0,0.0,170.0,0.423,0.423,0.423,0.444,0.434,0.346,0.0,94.0,89.0,87.0,59.0,82.0,125.0,0.0,
2012-13,28,LAC,NBA,C,5.0,0.0,37.0,0.556,0.556,0.556,0.5,0.557,0.222,0.0,123.0,115.0,112.0,66.0,104.0,82.0,0.0,
2013-14,29,LAC,NBA,PF,5.0,0.0,9.0,0.25,0.25,0.25,1.0,0.338,0.25,0.0,55.0,51.0,50.0,132.0,62.0,88.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,36.0,0.0,300.0,0.472,0.472,0.472,0.545,0.495,0.415,0.0,104.0,98.0,96.0,72.0,92.0,144.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),,10.0,0.0,46.0,0.462,0.462,0.462,0.667,0.489,0.231,0.0,102.0,95.0,93.0,88.0,91.0,84.0,0.0,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,17.0,0.0,170.0,0.423,0.423,0.423,0.444,0.434,0.346,0.0,94.0,89.0,87.0,59.0,82.0,125.0,0.0,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,9.0,0.0,84.0,0.571,0.571,0.571,0.6,0.598,0.714,0.0,125.0,118.0,114.0,78.0,110.0,234.0,0.0,
