"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Cody Martin,,3.9,1.3,1.1,1.0,0.1,-0.2,
Charlie Williams,80.6,3.9,1.3,1.1,0.6,-0.3,-0.7,
Ryan Arcidiacono,79.8,3.7,1.4,0.9,0.3,0.1,-0.1,-0.2
Stan Stutz,77.2,3.9,1.7,1.1,,,,
Ronnie Lester,76.8,3.9,1.7,0.7,0.2,0.0,-0.2,
Angelo Musi,76.4,3.5,1.3,1.1,,,,
Jevon Carter,73.5,3.5,1.8,1.6,1.2,0.3,0.2,0.0
Khalid Reeves,73.4,3.5,2.5,1.2,1.1,0.1,0.0,
Tyus Edney,72.5,3.3,1.5,1.5,0.5,,,
Terry Dehere,72.1,5.0,1.2,1.0,0.5,0.0,-0.4,
Bucky Bockhorn,72.0,3.1,1.5,1.3,1.1,0.5,0.3,0.1
