"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Kevin Knox,,0.7,0.6,0.4,0.2,0.2,0.2,-1.3
Hank McDowell,17.9,0.7,0.4,0.4,0.2,0.2,0.1,
Eddie Lee Wilkins,7.0,0.8,0.8,0.5,0.3,0.3,-0.1,
Loren Woods,6.9,1.1,0.7,0.5,0.4,0.4,0.1,
Joe Wolf,5.8,0.9,0.7,0.4,0.3,0.1,-0.2,-0.5
Greg Foster,-2.2,1.0,1.0,0.6,0.6,0.5,0.2,0.0
Shavlik Randolph,-3.8,1.1,0.7,0.4,0.1,0.0,0.0,0.0
Josh Powell,-4.4,1.1,0.7,0.6,0.3,0.0,0.0,-0.2
Mark Hendrickson,-4.7,0.9,0.8,0.3,0.1,,,
Randy White,-4.9,0.8,0.7,0.4,0.2,-0.2,,
Cartier Martin,-5.6,1.3,0.8,0.7,0.7,0.4,0.1,-0.2
