Highlight,Unnamed: 1,In Stathead
"Career high, Points",47.0,View full stats from top 20 games
"Career high, Rebounds",8.0,View full stats from top 20 games
"Career high, Assists",18.0,View full stats from top 20 games
"Career high, Steals",6.0,View full stats from top 20 games
"Career high, Blocks",3.0,View full stats from top 20 games
"Career high, Game Score",39.4,View full stats from top 20 games
