"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 27_level_0', 'Awards')"
2015-16,20,BOS,NBA,SG,3,0,10,0.333,19.6,0.667,0.0,0.0,0.0,0.667,0.333,0.5,0.5,0.0,1.0,,0.0,0,0.0,,0,0,
2016-17,21,BOS,NBA,SG,10,0,39,0.333,24.6,0.067,0.0,0.0,0.0,0.067,0.933,0.0,0.0,0.357,,1.0,0.0,0,0.357,0.4,0,0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,13,0,49,0.333,22.1,0.167,0.0,0.0,0.0,0.167,0.833,0.333,0.333,0.333,1.0,1.0,0.0,0,0.333,0.4,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,309,0.333,22.1,0.167,0.0,0.0,0.0,0.167,0.833,0.333,0.333,0.333,1.0,1.0,0.0,0,0.333,0.4,0,0,
