"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
James Young,,0.3,0.3,0.1,0.1
Elliot Williams,83.4,0.3,0.3,0.1,0.0
Julyan Stone,82.6,0.4,0.3,0.2,0.1
Milt Williams,78.5,0.4,0.2,0.1,0.1
Briante Weber,76.7,0.4,0.3,0.0,
Jeenathan Williams,74.1,0.3,0.3,0.0,
James White,68.5,0.5,0.3,0.0,
Chris Chiozza,68.2,0.5,0.3,0.0,0.0
Anthony Jones,68.1,0.5,0.3,0.0,
Doug Lee,66.8,0.4,0.4,0.0,
Armoni Brooks,63.8,0.3,0.2,0.0,
