"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Shabazz Muhammad,,2.7,2.7,2.0,0.7,0.3,,,
Bruce Seals,88.2,2.9,2.4,1.6,0.6,0.3,,,
Kenny Williams,86.7,2.7,2.4,1.6,0.7,,,,
Ron Thomas,85.0,2.7,2.0,1.8,0.8,,,,
Justise Winslow,84.0,2.8,2.6,2.5,0.8,0.4,0.0,-0.1,-0.7
Renaldo Balkman,83.9,2.8,2.6,1.3,0.3,0.1,0.0,,
Cal Christensen,82.8,3.2,2.9,1.7,0.4,0.0,,,
Mickey Davis,82.2,3.4,2.6,2.3,0.4,0.3,-0.1,,
Ira Newble,81.9,3.3,2.3,1.9,0.9,0.5,0.2,0.1,0.1
Joel Kramer,80.5,3.0,2.9,1.4,1.0,0.8,,,
Lamar Green,80.3,2.4,2.0,1.9,0.5,0.4,0.2,,
