"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Shabazz Muhammad,,2.7,2.7,2.0,0.7,0.3
Bruce Seals,88.2,2.9,2.4,1.6,0.6,0.3
Kenny Williams,86.7,2.7,2.4,1.6,0.7,
Jackie Moreland,86.5,2.6,2.5,2.3,0.5,0.1
David Wood,85.2,2.8,2.3,2.2,1.0,0.0
Ron Thomas,85.0,2.7,2.0,1.8,0.8,
Sidney Green,84.4,3.4,2.7,2.5,0.6,0.3
Eric Williams,84.2,2.9,2.5,1.6,0.2,0.1
Jahidi White,84.0,3.3,3.2,2.1,0.6,0.2
Brad Lohaus,83.3,3.3,2.7,1.8,0.9,0.9
Mike Scott,82.8,3.2,2.7,2.6,0.9,-0.1
