"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Trae Young,,10.0,7.2,6.7,5.9,5.7,4.6,3.3,,,,
Ty Lawson,85.1,7.4,7.0,6.9,6.7,6.3,3.7,3.2,0.9,,,
Norm Nixon,85.1,9.6,6.7,6.6,5.5,5.4,4.5,3.9,3.7,2.0,-0.4,
Brian Taylor,84.0,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1,
Michael Adams,83.9,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1
Gene Shue,83.9,8.5,7.6,5.6,5.6,4.6,4.6,2.4,0.7,0.4,-1.1,
Fred VanVleet,83.6,8.4,6.7,6.5,5.8,5.2,4.7,4.3,4.3,0.2,,
Kerry Kittles,83.2,8.4,7.7,7.7,7.6,6.9,4.7,1.8,0.2,,,
Devin Booker,83.1,9.2,7.6,7.5,6.4,6.0,4.9,3.5,2.4,2.0,1.9,
Jon McGlocklin,82.7,8.9,8.2,7.9,5.8,5.2,3.8,3.4,1.8,1.1,0.9,0.2
Phil Smith,82.6,9.4,7.0,6.3,5.2,4.8,2.9,2.2,1.7,1.6,,
