"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Trey Burke,,2.4,2.4,2.1,1.9,1.4,1.3,0.9,0.5,0.0
Nick Young,90.5,2.8,2.5,2.3,1.9,1.4,1.2,1.2,0.4,0.1
Austin Rivers,85.9,2.5,2.4,2.4,1.9,1.5,1.3,1.2,0.6,-1.1
Iman Shumpert,85.0,2.4,2.0,2.0,1.9,1.7,1.5,1.4,0.0,0.0
Anthony Bowie,83.8,2.9,2.5,2.0,1.6,1.3,0.7,0.7,0.5,
Josh Okogie,82.5,2.8,2.2,2.1,1.3,1.3,1.2,0.7,,
Garrett Temple,82.4,2.7,2.2,2.2,1.5,1.2,1.2,0.4,0.3,-0.4
Ledell Eackles,81.9,2.4,2.1,2.0,1.2,1.0,1.0,1.0,,
J.J. Barea,81.2,3.2,2.7,2.2,2.2,1.9,1.2,0.7,0.5,0.1
Marko JariÄ,79.9,2.8,2.4,2.3,1.9,1.5,1.5,-0.4,,
Lonzo Ball,79.0,3.2,2.4,2.2,2.0,1.6,1.2,,,
