"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Kyle Weaver,,1.2,0.3,0.0
D'Angelo Russell,88.6,1.3,0.4,0.0
Jaden Ivey,87.9,1.2,0.5,0.0
Ronnie Price,86.9,1.1,0.4,0.1
Marco Belinelli,85.0,1.2,0.5,0.0
Mitchell Butler,84.7,1.1,0.3,-0.2
Keyon Dooling,82.9,1.4,0.3,0.0
Tate George,82.9,1.1,0.4,-0.1
Tre Mann,82.4,1.2,0.5,0.1
Frank Jackson,81.0,1.2,0.4,0.2
Romeo Langford,80.3,1.3,0.2,0.0
