"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Bennedict Mathurin,,3.0,1.8,1.4,,,,,
Davion Mitchell,91.2,3.0,1.5,1.3,0.1,,,,
Andrew Nembhard,88.0,2.8,2.0,1.2,,,,,
Anthony Goldwire,87.5,3.0,1.7,1.5,0.3,0.1,0.1,-0.1,-0.1
Tyus Edney,86.2,3.3,1.5,1.5,0.5,,,,
Mike Butler,86.1,3.1,2.3,1.6,0.1,,,,
Tom Garrick,86.1,2.5,1.8,1.4,0.2,,,,
Ralph Johnson,83.7,2.9,1.6,0.8,0.0,,,,
Louie Nelson,82.5,2.9,2.3,1.1,0.0,0.0,,,
Stan Stutz,81.6,3.9,1.7,1.1,,,,,
Yogi Ferrell,80.6,3.0,1.9,1.8,0.7,0.3,,,
