Season,Team,Lg,Salary
2022-23,Indiana Pacers,NBA,"$6,586,800"
2023-24,Indiana Pacers,NBA,"$6,916,080"
2024-25,Indiana Pacers,NBA,"$7,245,720"
Career,(may be incomplete),,"$20,748,600"
