"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Isaiah Hartenstein,,8.1,6.8,5.5,4.6,1.6,1.1,0.5
Kermit Washington,90.3,9.1,6.9,5.3,4.3,0.9,0.9,0.8
Chandler Parsons,89.9,7.6,7.0,5.5,4.3,3.4,1.1,0.2
Curtis Perry,88.4,7.6,6.0,5.3,4.8,2.8,1.3,0.2
Kurt Thomas,88.4,8.2,6.5,5.2,3.8,2.5,0.5,-0.2
Jeff Foster,88.0,8.3,5.7,5.4,4.2,2.7,1.6,0.6
Bryon Russell,87.2,8.8,7.4,6.0,5.6,2.1,1.4,0.8
Reggie King,87.1,8.3,6.2,4.8,3.4,1.6,0.5,
Julius Randle,85.8,7.8,6.6,6.1,3.5,2.7,1.6,-0.1
Boris Diaw,85.7,8.9,6.2,4.7,4.6,3.0,0.8,0.1
Orlando Woolridge,85.1,9.0,6.8,5.6,5.3,3.6,1.8,0.8
