"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Anthony Bennett,,0.5,0.3,0.1,-0.4
Dragan Bender,79.4,0.5,0.3,0.1,-0.3
Gene James,44.4,0.5,0.3,0.1,
Alex Poythress,43.2,0.5,0.3,0.1,
KZ Okpala,40.9,0.5,0.3,0.1,0.1
Anthony Cook,38.8,0.5,0.4,0.1,0.1
Devontae Cacok,38.6,0.5,0.3,0.0,
Trevor Wilson,36.3,0.8,0.3,0.2,-0.5
Mark Randall,35.7,0.5,0.3,0.2,0.0
Josh Davis,35.4,0.5,0.3,0.0,0.0
Rod McDonald,32.4,0.5,0.5,0.2,
