"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
T.J. Ford,,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2
Al Wood,88.7,4.4,4.2,2.5,2.3,1.0,0.9,,
Coby White,87.9,4.7,4.5,3.1,2.4,2.4,0.9,,
Calbert Cheaney,87.4,4.1,3.9,3.2,3.2,1.2,0.8,0.4,-0.1
Eric Money,85.5,4.2,3.6,3.3,2.7,0.6,0.3,,
Isaac Okoro,85.4,4.2,4.2,4.2,2.5,0.9,,,
Jamaal Tinsley,85.3,4.4,3.7,2.8,2.8,1.7,0.8,0.7,-0.3
TomÃ¡Å¡ SatoranskÃ½,85.0,5.0,4.7,3.5,3.1,1.0,0.6,,
Fred Jones,84.9,4.8,4.0,2.6,2.2,1.6,1.2,0.0,
Ron Brewer,84.8,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1
Reggie Bullock,84.8,4.6,4.2,3.1,1.2,1.0,0.5,0.2,0.1
