"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Evan Turner,,4.0,2.6,2.5,2.4,2.3,2.1,2.0,1.4,1.2,-0.3,,,,
Jerryd Bayless,90.0,4.0,2.7,2.4,2.4,2.4,2.0,1.6,1.1,0.3,0.0,-0.1,,,
Earl Watson,85.3,2.9,2.7,2.6,2.3,2.3,2.0,1.8,1.5,1.0,0.4,0.0,-0.1,-0.2,
Nick Young,83.5,3.2,2.8,2.5,2.3,1.9,1.7,1.4,1.2,1.2,0.4,0.1,0.0,,
Scott Brooks,83.0,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6,1.0,0.7,,,,
Danny Young,83.0,4.8,3.0,2.9,2.4,1.9,1.8,1.8,1.4,0.2,-0.1,,,,
Tony Snell,82.3,3.4,3.2,2.6,2.4,2.4,2.0,1.6,0.4,0.4,,,,,
Jordan Clarkson,81.3,4.2,3.5,3.4,3.0,2.4,2.1,1.8,1.7,1.2,0.4,0.2,,,
Caris LeVert,81.2,4.4,4.0,3.6,2.4,2.3,2.2,1.8,1.7,1.5,,,,,
Torrey Craig,80.1,4.0,3.0,2.3,2.2,2.0,1.9,0.9,0.8,,,,,,
J.J. Barea,79.2,3.3,3.2,2.8,2.7,2.2,2.2,1.9,1.3,1.2,1.0,0.7,0.7,0.5,0.1
