"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Brandon Knight,,4.5,2.8,1.7,1.3,1.1,0.3,0.1,0.0,-0.1
Ish Smith,90.7,4.4,3.1,1.7,1.3,1.0,0.3,-0.1,-0.1,-0.4
Ron Lee,87.3,3.8,2.8,1.6,1.4,0.8,0.3,,,
Roger Mason,85.2,4.7,3.4,1.9,1.4,0.9,0.2,0.1,0.1,-0.1
Lee Winfield,84.5,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,,
Al Smith,83.4,4.5,3.3,1.8,0.9,0.6,,,,
John Barnhill,82.5,4.6,2.5,1.7,1.1,1.0,1.0,0.7,0.4,0.3
Slick Watts,81.7,4.7,3.3,2.7,1.2,1.2,0.8,,,
Gary Payton II,81.6,5.2,3.0,1.8,1.0,0.5,0.3,0.2,0.1,-0.2
Larry Wright,81.2,3.5,2.7,1.8,1.4,1.2,0.0,,,
Bryn Forbes,81.1,3.8,2.7,2.1,1.5,1.4,0.1,0.0,,
