"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Royal Ivey,,1.0,0.9,0.7,0.6,0.5,0.3,0.2,0.2,0.2,0.0
Sebastian Telfair,76.2,1.1,0.8,0.8,0.7,0.6,0.5,0.4,0.3,0.1,-0.4
JaKarr Sampson,65.2,1.2,0.8,0.6,0.5,0.3,0.1,,,,
Brook Steppe,63.4,1.3,1.1,1.0,0.7,0.6,,,,,
Troy Daniels,62.2,1.4,1.3,1.1,0.6,0.3,0.2,0.2,,,
Mitchell Butler,57.9,1.1,0.6,0.5,0.5,0.3,0.1,0.1,-0.2,,
John Warren,57.6,1.7,0.9,0.8,0.5,0.3,,,,,
Malachi Flynn,57.5,1.0,0.8,0.5,0.5,0.0,,,,,
Nik Stauskas,57.0,1.4,1.1,0.5,0.5,0.3,0.1,,,,
Lindy Waters III,57.0,1.1,1.0,0.9,0.8,,,,,,
Kevin McKenna,56.3,1.7,0.9,0.7,0.6,0.5,-0.3,,,,
