"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2004-05,21,NJN,NBA,PF,4.0,4.0,154.0,0.563,10.1,1.0,0.292,0.167,0.25,0.292,0.0,0.563,0.643,0.625,0.5,0.5,0.778,0.083,4.0,0.0,0.0,
2005-06,22,NJN,NBA,PF,11.0,11.0,366.0,0.504,9.4,1.0,0.287,0.24,0.171,0.302,0.0,0.504,0.676,0.419,0.455,0.436,0.754,0.039,5.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,26,OKC,NBA,C,6.0,6.0,129.0,0.405,10.5,1.0,0.351,0.108,0.162,0.378,0.0,0.405,0.538,0.5,0.167,0.357,0.667,0.027,1.0,0.0,0.0,
2010-11,27,BOS,NBA,C,7.0,0.0,56.0,0.625,11.2,1.0,0.375,0.125,0.0,0.5,0.0,0.625,1.0,0.0,,0.5,0.8,0.125,1.0,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,28.0,21.0,705.0,0.505,10.3,1.0,0.302,0.198,0.18,0.32,0.0,0.505,0.657,0.455,0.425,0.437,0.75,0.05,11.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,62.0,2065.0,0.505,10.3,1.0,0.302,0.198,0.18,0.32,0.0,0.505,0.657,0.455,0.425,0.437,0.75,0.05,32.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NJN (2 Yrs),NJN (2 Yrs),NJN (2 Yrs),NJN (2 Yrs),,15.0,15.0,520.0,0.52,9.7,1.0,0.288,0.22,0.192,0.299,0.0,0.52,0.667,0.462,0.471,0.453,0.761,0.051,9.0,0.0,0.0,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,7.0,0.0,56.0,0.625,11.2,1.0,0.375,0.125,0.0,0.5,0.0,0.625,1.0,0.0,,0.5,0.8,0.125,1.0,0.0,0.0,
OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),,6.0,6.0,129.0,0.405,10.5,1.0,0.351,0.108,0.162,0.378,0.0,0.405,0.538,0.5,0.167,0.357,0.667,0.027,1.0,0.0,0.0,
