"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2001-02,23,UTA,NBA,C,4.0,4.0,47.0,0.556,8.9,1.0,0.222,0.278,0.333,0.167,0.0,0.556,1.0,0.2,0.667,0.333,0.8,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07,28,UTA,NBA,C,13.0,0.0,110.0,0.333,8.6,1.0,0.444,0.111,0.0,0.444,0.0,0.333,0.0,1.0,,0.5,1.0,0.0,0.0,0.0,0.0,
2007-08,29,UTA,NBA,C,5.0,0.0,20.0,0.0,2.3,1.0,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
2008-09,30,UTA,NBA,C,3.0,3.0,35.0,0.2,12.0,1.0,0.2,0.2,0.0,0.6,0.0,0.2,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2009-10,31,PHO,NBA,C,11.0,10.0,115.0,0.333,9.0,1.0,0.333,0.2,0.333,0.133,0.0,0.333,0.4,0.333,0.2,0.5,1.0,0.0,0.0,0.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,36.0,17.0,327.0,0.38,8.2,1.0,0.32,0.22,0.22,0.24,0.0,0.38,0.438,0.273,0.455,0.333,0.842,0.0,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,39.0,745.0,0.38,8.2,1.0,0.32,0.22,0.22,0.24,0.0,0.38,0.438,0.273,0.455,0.333,0.842,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
UTA (4 Yrs),UTA (4 Yrs),UTA (4 Yrs),UTA (4 Yrs),,25.0,7.0,212.0,0.4,7.9,1.0,0.314,0.229,0.171,0.286,0.0,0.4,0.455,0.25,0.667,0.3,0.786,0.0,0.0,0.0,0.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,11.0,10.0,115.0,0.333,9.0,1.0,0.333,0.2,0.333,0.133,0.0,0.333,0.4,0.333,0.2,0.5,1.0,0.0,0.0,0.0,0.0,
