Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2001-02,23,UTA,NBA,C,4.0,4.0,47.0,10.0,18.0,0.556,0.0,0.0,10.0,18.0,0.556,0.556,2.0,2.0,1.0,4.0,3.0,7.0,0.0,0.0,0.0,4.0,11.0,22.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07,28,UTA,NBA,C,13.0,0.0,110.0,3.0,9.0,0.333,0.0,0.0,3.0,9.0,0.333,0.333,9.0,17.0,0.529,8.0,12.0,20.0,5.0,4.0,0.0,1.0,21.0,15.0,0.0,
2007-08,29,UTA,NBA,C,5.0,0.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,3.0,3.0,6.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,
2008-09,30,UTA,NBA,C,3.0,3.0,35.0,1.0,5.0,0.2,0.0,0.0,1.0,5.0,0.2,0.2,6.0,8.0,0.75,4.0,6.0,10.0,1.0,1.0,0.0,0.0,9.0,8.0,0.0,
2009-10,31,PHO,NBA,C,11.0,10.0,115.0,5.0,15.0,0.333,0.0,0.0,5.0,15.0,0.333,0.333,2.0,2.0,1.0,9.0,8.0,17.0,0.0,1.0,1.0,3.0,22.0,12.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,36.0,17.0,327.0,19.0,50.0,0.38,0.0,0.0,19.0,50.0,0.38,0.38,19.0,29.0,0.655,28.0,32.0,60.0,7.0,7.0,2.0,8.0,65.0,57.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,39.0,745.0,43.0,114.0,0.38,0.0,0.0,43.0,114.0,0.38,0.38,43.0,66.0,0.655,64.0,73.0,137.0,16.0,16.0,5.0,18.0,148.0,130.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTA (4 Yrs),UTA (4 Yrs),UTA (4 Yrs),UTA (4 Yrs),,25.0,7.0,212.0,14.0,35.0,0.4,0.0,0.0,14.0,35.0,0.4,0.4,17.0,27.0,0.63,19.0,24.0,43.0,7.0,6.0,1.0,5.0,43.0,45.0,0.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,11.0,10.0,115.0,5.0,15.0,0.333,0.0,0.0,5.0,15.0,0.333,0.333,2.0,2.0,1.0,9.0,8.0,17.0,0.0,1.0,1.0,3.0,22.0,12.0,0.0,
