Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2025-26,23,DEN,NBA,PF,2,0,4,12.1,12.1,1.0,12.1,12.1,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,36.4,300,125,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,4,12.1,12.1,1.0,12.1,12.1,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,36.4,300,125,
