0
2005-06 NBA 3.4 (3rd)
2006-07 NBA 2.7 (9th)
2007-08 NBA 3.9 (1st)
2008-09 NBA 3.9 (1st)
2009-10 NBA 2.9 (2nd)
2010-11 NBA 3.5 (1st)
2011-12 NBA 3.8 (1st)
2012-13 NBA 3.8 (2nd)
2013-14 NBA 3.5 (2nd)
2014-15 NBA 2.8 (9th)
2015-16 NBA 3.1 (3rd)
2016-17 NBA 3.1 (2nd)
2017-18 NBA 2.6 (15th)
2018-19 NBA 3.0 (2nd)
2019-20 NBA 2.4 (14th)
2020-21 NBA 2.2 (20th)
2021-22 NBA 2.7 (5th)
2022-23 NBA 2.4 (12th)
2023-24 NBA 2.2 (12th)
2024-25 NBA 2.2 (18th)
Active 3.1 (1st)
Career 3.1 (20th)
Career NBA 3.1 (16th)
Career Playoffs 2.7 (12th)
Career NBA Playoffs 2.7 (11th)
