0
2005-06 Rookie of the Year (Wilt Chamberlain Trophy)
2005-06 Sporting News Rookie of the Year
2013 All-Star Game Most Valuable Player (Kobe Bryant Trophy)
2021-22 NBA 75th Anniversary Team
