"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Steven Adams,,9.7,9.1,6.8,6.5,6.5,6.5,4.1,4.0,3.4,2.9,2.3
Nate Thurmond,89.9,9.9,9.0,7.2,7.2,6.5,6.1,6.0,5.2,4.3,3.7,3.5
Tom Owens,88.7,10.4,8.3,8.0,6.9,6.9,6.0,4.8,3.2,2.9,2.5,0.9
Brook Lopez,88.3,9.0,7.9,7.0,6.7,6.3,6.2,5.8,4.9,3.8,2.3,0.3
Mike Gminski,88.0,9.2,7.0,6.5,6.1,6.0,5.4,4.3,4.0,2.9,1.8,1.5
Marcin Gortat,88.0,8.6,8.1,7.6,7.3,6.8,6.4,4.9,3.4,3.4,3.3,0.1
Tree Rollins,88.0,9.2,7.3,6.4,6.4,5.5,5.0,4.9,4.1,3.8,3.4,2.6
Nikola VuÄeviÄ,87.8,10.1,7.0,6.4,6.3,5.7,5.2,4.5,4.4,4.0,3.6,1.8
Joakim Noah,87.5,11.2,9.0,7.3,6.7,6.4,6.2,5.6,3.8,2.2,1.1,0.1
Brad Miller,86.7,10.0,9.6,9.1,8.6,8.3,6.5,5.1,3.8,3.4,2.7,2.1
Jim Eakins,86.5,9.0,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9,0.9,
