"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2012-13,23,MEM,NBA,PF,8.0,0.0,48.0,0.417,0.417,,0.417,0.75,0.472,0.333,0.0,92.0,86.0,,84.0,100.0,88.0,123.0,0.0,
2013-14,24,MEM,NBA,PF,7.0,0.0,25.0,0.3,0.3,,0.3,0.0,0.287,0.1,0.0,66.0,62.0,,60.0,0.0,53.0,35.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,26,POR,NBA,PF,11.0,0.0,205.0,0.525,0.553,0.0,0.525,0.576,0.559,0.825,0.05,116.0,112.0,0.0,104.0,76.0,103.0,299.0,18.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,28,POR,NBA,C,4.0,0.0,71.0,0.5,0.5,,0.5,0.25,0.468,0.4,0.0,109.0,98.0,,96.0,33.0,84.0,159.0,0.0,
2018-19,29,BRK,NBA,C,3.0,0.0,41.0,0.7,0.7,,0.7,1.0,0.735,0.2,0.0,152.0,135.0,,134.0,130.0,131.0,77.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,33.0,0.0,390.0,0.5,0.513,0.0,0.5,0.568,0.528,0.537,0.024,110.0,103.0,0.0,99.0,75.0,97.0,197.0,9.0,
,,,,,,,,,,,,,,,,,,,,,,,,
MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),,15.0,0.0,73.0,0.364,0.364,,0.364,0.6,0.393,0.227,0.0,80.0,75.0,,73.0,80.0,73.0,83.0,0.0,
POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),,15.0,0.0,276.0,0.52,0.542,0.0,0.52,0.541,0.543,0.74,0.04,114.0,109.0,0.0,103.0,71.0,100.0,271.0,14.0,
BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),,3.0,0.0,41.0,0.7,0.7,,0.7,1.0,0.735,0.2,0.0,152.0,135.0,,134.0,130.0,131.0,77.0,0.0,
