"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Ed Davis,,6.7,6.3,5.7,5.4,5.0,4.0,3.9,2.6,1.7,0.8,0.6,0.5,
Junior Bridgeman,92.3,6.7,6.1,5.5,5.1,4.8,4.0,3.6,3.1,2.6,2.1,0.8,0.6,
Cliff Levingston,92.1,7.0,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2.0,1.3,0.5,,
Tom Gugliotta,91.7,6.7,5.4,5.3,5.2,5.0,3.8,3.5,1.8,1.6,0.9,0.4,0.4,0.3
Keith Van Horn,91.3,6.5,6.3,6.3,5.5,4.8,3.7,3.5,2.8,2.3,,,,
Jim Washington,90.3,6.7,5.5,5.4,4.9,4.7,4.3,3.6,2.4,1.3,0.5,0.0,,
Terry Tyler,90.2,6.4,5.8,5.5,5.4,4.5,3.4,2.9,2.5,1.9,1.2,1.2,,
John Collins,89.6,6.7,6.0,5.4,5.1,4.9,4.4,4.2,2.5,,,,,
Bruce Bowen,89.2,6.2,6.1,5.4,5.1,4.4,4.2,4.1,2.2,2.2,1.9,1.2,0.0,0.0
Jeff Foster,89.1,8.3,6.5,5.7,5.4,4.5,4.2,4.2,3.0,2.7,1.6,0.6,0.4,0.4
Wayman Tisdale,89.1,7.0,5.9,5.7,5.6,5.4,4.5,3.4,3.2,2.0,1.8,1.7,-0.6,
