Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,22.0,IND,NBA,SF,1,0,20:03,7,13,0.538,3,6,0.5,0,0,,1,3,4,2,0,0,0,17
2013-14,23.0,IND,NBA,SF,1,1,33:08,6,13,0.462,1,5,0.2,5,5,1.0,1,5,5,2,0,1,2,18
2015-16,25.0,IND,NBA,SF,1,1,26:49,16,26,0.615,9,19,0.474,0,0,,0,5,1,1,0,3,0,41
2016-17,26.0,IND,NBA,SF,1,0,22:05,6,16,0.375,0,7,0.0,0,0,,0,5,3,0,0,0,0,12
2017-18,27.0,OKC,NBA,SF,1,0,26:30,6,15,0.4,4,10,0.4,0,0,,1,5,4,1,0,0,2,16
2018-19,28.0,OKC,NBA,SF,1,1,25:41,7,14,0.5,6,12,0.5,0,0,,0,2,4,3,0,0,0,20
2020-21,30.0,LAC,NBA,SF,1,0,26:00,6,8,0.75,5,7,0.714,0,0,,0,2,2,1,0,1,0,17
2022-23,32.0,LAC,NBA,SF,1,0,17:53,4,13,0.308,0,9,0.0,0,0,,1,2,2,1,1,1,0,8
2023-24,33.0,LAC,NBA,PF,1,0,9:57,5,9,0.556,2,4,0.5,1,1,1.0,1,1,2,1,0,1,0,13
Career,,,NBA,,9,3,208,63,127,0.496,30,79,0.38,6,6,1.0,5,30,27,12,1,7,4,162
