"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')"
Paul George,,11.9,10.8,9.2,9.0,8.9,7.3,7.1,6.0,5.3,4.8,4.6,2.4,1.3,1.0,0.0,
Glen Rice,91.6,10.8,10.2,10.0,9.3,9.0,8.3,7.9,6.3,5.7,4.4,3.3,2.2,1.4,0.0,-0.1,
Chris Webber,91.2,11.0,10.7,9.3,8.6,8.3,7.8,6.9,4.4,4.0,3.6,3.4,3.4,1.9,1.1,0.1,
Dennis Rodman,91.1,12.6,9.3,8.7,8.7,8.1,7.8,6.8,6.2,6.0,5.8,5.5,2.9,0.8,0.6,,
Shawn Kemp,90.8,11.7,11.2,10.6,10.0,9.1,6.8,6.7,6.3,6.1,4.0,2.1,2.0,1.9,0.9,,
Ben Wallace,90.1,11.6,10.6,10.2,10.1,8.5,8.2,7.0,5.6,4.7,3.8,3.6,3.6,2.9,1.9,1.4,-0.2
Billy Cunningham,89.5,11.9,10.3,10.0,9.0,8.3,6.8,6.4,6.1,5.0,3.5,1.2,,,,,
Anthony Mason,89.5,11.6,11.4,11.3,9.3,8.9,8.6,7.4,6.4,5.6,4.9,3.1,0.1,-0.1,,,
Cliff Hagan,89.4,11.8,11.7,10.8,10.0,8.5,7.1,6.5,6.0,4.7,3.7,3.0,1.3,0.1,,,
Lou Hudson,89.2,11.1,10.1,9.7,9.3,8.8,7.9,5.9,4.9,4.2,3.3,2.7,2.2,0.8,,,
Bobby Jones,89.2,11.0,10.2,10.2,9.2,8.9,8.2,8.1,7.7,6.4,6.0,4.8,3.2,,,,
