Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2009-10,30,MIL,NBA,C,4,0,6.3,1.0,1.8,0.571,0.0,0.0,1.0,1.8,0.571,0.571,0.3,0.5,0.5,0.3,0.5,0.8,0.0,0.3,0.0,0.0,1.3,2.3,
1 Yr,1 Yr,1 Yr,1 Yr,,4,0,6.3,1.0,1.8,0.571,0.0,0.0,1.0,1.8,0.571,0.571,0.3,0.5,0.5,0.3,0.5,0.8,0.0,0.3,0.0,0.0,1.3,2.3,
