"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
PrimoÅ¾ Brezec,,4.9,4.6,0.7,0.3,0.2,0.1,0.1,0.0
Isaac Austin,71.6,4.0,3.6,1.2,0.3,0.3,0.2,0.0,-0.5
Jamie Feick,69.5,4.8,2.2,0.9,0.2,0.2,,,
Mike Sojourner,69.4,4.7,2.7,0.9,,,,,
Skip Thoren,68.9,7.0,4.4,1.6,,,,,
Fabricio Oberto,68.3,6.1,4.1,1.7,1.1,0.6,0.0,,
Joel Przybilla,67.5,4.7,4.3,2.3,1.9,0.6,0.3,0.1,0.1
Ed Johnson,66.5,5.1,2.4,1.0,,,,,
Manny Leaks,66.3,7.3,5.2,1.1,0.8,0.2,-0.2,,
Jerome Whitehead,66.3,5.3,3.6,2.1,1.5,0.3,0.2,0.2,0.1
Tom Hoover,66.0,4.4,2.6,0.4,0.1,0.0,,,
