"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Rodions Kurucs,,1.6,0.8,-0.1
BoÅ¡tjan Nachbar,93.9,1.7,0.8,-0.1
Adrian Branch,90.2,1.5,0.7,-0.1
Chris McNealy,89.2,1.6,0.8,0.2
Greg Kelser,88.6,1.4,0.8,0.0
Kenny Gattison,87.3,1.5,0.7,0.0
Lonny Baxter,86.6,1.5,0.9,-0.2
Derrick Alston,86.3,1.7,1.0,-0.1
T.J. Leaf,84.9,1.6,0.8,0.3
Brian Scalabrine,84.9,1.7,1.0,-0.1
Shawne Williams,84.9,1.4,0.7,0.0
