"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Unnamed: 19_level_0', 'Shoot')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 23_level_0', 'Awards')"
2001-02,20,DEN,NBA,PG,36.0,4.0,560.0,98.0,2.0,0.0,0.0,0.0,-5.9,0.8,33.0,14.0,9.0,6.0,15.0,228.0,4.0,21.0,
2002-03,21,2TM,NBA,PG,39.0,6.0,502.0,97.0,3.0,0.0,0.0,0.0,-9.1,-1.5,25.0,9.0,12.0,5.0,10.0,142.0,3.0,17.0,
2002-03,21,DEN,NBA,PG,22.0,6.0,420.0,97.0,3.0,0.0,0.0,0.0,-7.9,1.8,21.0,6.0,10.0,5.0,9.0,109.0,3.0,16.0,
2002-03,21,PHI,NBA,PG,17.0,0.0,82.0,100.0,0.0,0.0,0.0,0.0,-15.5,-18.3,4.0,3.0,2.0,0.0,1.0,33.0,0.0,1.0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,75.0,10.0,1062.0,98.0,2.0,0.0,0.0,0.0,-7.4,-0.3,58.0,23.0,21.0,11.0,25.0,370.0,7.0,38.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,11.0,1161.0,98.0,2.0,0.0,0.0,0.0,-7.4,-0.3,63.0,25.0,23.0,12.0,27.0,405.0,8.0,42.0,
,,,,,,,,,,,,,,,,,,,,,,,
DEN (2 Yrs),DEN (2 Yrs),DEN (2 Yrs),DEN (2 Yrs),,58.0,10.0,980.0,97.0,3.0,0.0,0.0,0.0,-6.8,1.2,54.0,20.0,19.0,11.0,24.0,337.0,7.0,37.0,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,17.0,0.0,82.0,100.0,0.0,0.0,0.0,0.0,-15.5,-18.3,4.0,3.0,2.0,0.0,1.0,33.0,0.0,1.0,
