"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 24_level_0', 'Awards')"
2002-03,22,MEM,NBA,PF,12.0,0.0,72.0,0.3,0.3,0.3,0.389,0.34,0.9,0.0,68.0,65.0,63.0,51.0,66.0,298.0,0.0,-7.0,-10.0,
2003-04,23,3TM,NBA,PF,32.0,3.0,256.0,0.273,0.273,0.273,0.452,0.343,0.939,0.0,62.0,59.0,58.0,60.0,66.0,310.0,0.0,-13.1,-16.1,
2003-04,23,PHO,NBA,PF,1.0,0.0,6.0,0.0,0.0,0.0,0.5,0.266,2.0,0.0,0.0,0.0,0.0,67.0,52.0,659.0,0.0,-0.9,-0.9,
2003-04,23,ORL,NBA,PF,1.0,0.0,4.0,0.5,0.5,0.5,0.0,0.347,1.0,0.0,114.0,109.0,106.0,0.0,67.0,330.0,0.0,0.1,-1.0,
2003-04,23,TOR,NBA,C,30.0,3.0,246.0,0.267,0.267,0.267,0.481,0.346,0.9,0.0,61.0,58.0,57.0,64.0,67.0,297.0,0.0,-12.3,-14.2,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,44.0,3.0,328.0,0.283,0.283,0.283,0.429,0.342,0.925,0.0,64.0,61.0,60.0,57.0,66.0,305.0,0.0,-20.1,-26.1,
,,,,,,,,,,,,,,,,,,,,,,,,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,30.0,3.0,246.0,0.267,0.267,0.267,0.481,0.346,0.9,0.0,61.0,58.0,57.0,64.0,67.0,297.0,0.0,-12.3,-14.2,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,12.0,0.0,72.0,0.3,0.3,0.3,0.389,0.34,0.9,0.0,68.0,65.0,63.0,51.0,66.0,298.0,0.0,-7.0,-10.0,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,1.0,0.0,4.0,0.5,0.5,0.5,0.0,0.347,1.0,0.0,114.0,109.0,106.0,0.0,67.0,330.0,0.0,0.1,-1.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,1.0,0.0,6.0,0.0,0.0,0.0,0.5,0.266,2.0,0.0,0.0,0.0,0.0,67.0,52.0,659.0,0.0,-0.9,-0.9,
