"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'College')","('Unnamed: 3_level_0', 'G')","('Unnamed: 4_level_0', 'MP')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', '3P')","('Totals', '3PA')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'ORB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Shooting', 'FG%')","('Shooting', '3P%')","('Shooting', 'FT%')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')"
1998-99,18.0,ILLINOIS,32,457,32,82,0,0,31,45,,100,26,16,10,59,85,95,0.39,,0.689,14.3,3.0,3.1,0.8
1999-00,19.0,ILLINOIS,30,364,35,67,0,0,31,48,43.0,97,15,12,7,29,68,101,0.522,,0.646,12.1,3.4,3.2,0.5
2000-01,20.0,ILLINOIS,34,514,77,131,0,0,90,122,63.0,154,22,12,26,48,114,244,0.588,,0.738,15.1,7.2,4.5,0.6
2001-02,21.0,ILLINOIS,34,769,114,173,0,1,134,205,70.0,188,44,25,38,67,123,362,0.659,0.0,0.654,22.6,10.6,5.5,1.3
Career,,,130,2104,258,453,0,1,286,420,176.0,539,107,65,81,203,390,802,0.57,0.0,0.681,16.2,6.2,4.1,0.8
