"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Walker Kessler,,7.1,5.4,4.1
Robert Parish,95.9,7.1,4.8,4.0
Mehmet Okur,95.3,7.0,5.9,3.8
Billy Paultz,93.7,7.0,5.6,5.0
Larry Foust,92.7,7.1,6.3,4.5
Willis Reed,92.4,7.9,5.5,3.6
Mychal Thompson,91.5,8.2,5.3,4.4
Rich Kelley,90.5,6.4,4.8,4.3
Joe Barry Carroll,90.4,7.0,5.7,5.5
James Edwards,90.2,7.1,6.7,4.5
Alvan Adams,89.7,7.2,6.3,4.9
