"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Jake Tsakalidis,,2.8,2.8,1.3,1.2,0.9,0.6,0.3
Steven Hunter,84.1,2.8,2.6,2.5,1.0,0.9,0.6,0.1
Hub Reed,82.4,2.8,2.0,1.7,1.3,1.0,0.6,0.0
Cole Aldrich,82.3,3.5,2.2,1.3,1.2,0.6,0.6,0.2
Bill Wennington,81.8,3.5,2.1,1.3,1.2,0.9,0.5,0.4
Zach Collins,80.8,2.9,2.7,2.2,1.8,1.2,0.6,0.3
Salah Mejri,79.6,3.0,2.7,1.3,1.1,,,
Mikki Moore,78.5,2.8,2.6,2.2,1.0,0.6,0.1,0.1
Day'Ron Sharpe,78.2,2.9,2.7,1.6,1.2,,,
Ekpe Udoh,77.8,3.2,2.7,2.1,1.6,0.7,0.3,0.0
Michael Doleac,75.6,3.0,2.2,1.9,1.7,1.5,0.3,0.3
