Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2004-05,19,WAS,NBA,C,6,0,20,5,10,0.5,0,0,5,10,0.5,0.5,1,2,0.5,1,3,4,0,0,1,3,4,11,0,
1 Yr,1 Yr,1 Yr,1 Yr,,6,0,20,5,10,0.5,0,0,5,10,0.5,0.5,1,2,0.5,1,3,4,0,0,1,3,4,11,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,273,68,137,0.5,0,0,68,137,0.5,0.5,14,27,0.5,14,41,55,0,0,14,41,55,150,0,
