"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Justin Hamilton,,2.1,1.5,0.1
Joffrey Lauvergne,91.9,2.3,1.5,0.1
Jusuf NurkiÄ,90.7,2.0,1.6,0.4
Eric Leckner,89.1,1.7,1.5,0.2
Vitaly Potapenko,87.1,2.2,1.5,0.5
Tom LaGarde,83.9,2.2,1.7,0.4
Henry Sims,82.2,2.1,2.1,0.0
Irv Rothenberg,82.1,2.3,1.6,-0.2
Goga Bitadze,81.8,1.9,1.5,0.7
James Wiseman,81.1,2.1,1.4,0.7
Zaid Abdul-Aziz,80.2,2.0,1.8,-0.3
