"('Thru 12 Years', 'Player')","('Thru 12 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
David Lee,,10.3,9.1,9.0,7.6,7.4,6.9,6.0,5.7,5.0,3.2,3.0,2.7
Shareef Abdur-Rahim,93.2,9.7,8.8,8.5,8.1,7.2,6.9,6.2,5.4,4.6,2.9,2.8,0.0
Lamar Odom,92.9,10.1,9.7,9.2,8.4,7.7,6.9,6.5,4.7,4.7,3.2,2.2,0.7
Carlos Boozer,91.8,10.2,9.9,9.9,9.4,7.6,5.9,5.8,5.7,4.1,3.5,3.4,2.6
John Drew,91.7,10.6,8.9,8.9,7.9,7.1,6.4,5.5,5.4,4.5,3.0,0.7,
Jamaal Wilkes,91.5,10.0,8.5,8.3,7.7,7.4,7.3,6.9,6.0,5.1,3.3,0.9,0.0
Clifford Robinson,90.5,9.6,8.7,8.0,7.5,7.1,6.8,6.6,5.4,5.3,4.6,4.2,0.3
Hot Rod Williams,90.5,9.2,8.7,7.7,7.5,7.4,5.7,5.3,5.3,4.5,3.7,2.8,2.4
Bernard King,90.3,12.1,9.1,8.7,7.5,7.1,6.5,5.9,5.5,4.9,2.8,0.4,0.0
Happy Hairston,90.0,9.3,9.2,8.8,7.2,7.0,7.0,6.5,5.3,5.1,4.2,0.4,
Andrei Kirilenko,89.9,11.6,9.2,7.9,7.3,7.1,6.0,6.0,5.5,4.6,4.5,4.4,1.3
