"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Buddy Hield,,5.9,4.4,3.5,3.0,2.8,2.8,2.2,1.9,1.3,,,,,
Jeremy Lamb,91.2,5.3,4.9,3.3,2.7,2.7,2.7,2.1,1.6,1.2,0.2,,,,
Darrell Walker,90.8,6.3,3.8,3.7,2.9,2.8,2.4,2.3,2.1,0.8,0.2,,,,
Evan Fournier,90.2,5.7,4.6,3.7,3.3,3.2,2.8,2.8,2.1,1.4,1.0,0.1,-0.1,,
Bimbo Coles,89.5,5.7,5.0,3.2,3.0,2.8,2.7,2.3,1.1,0.9,0.5,0.4,0.0,0.0,-0.1
Kevin Grevey,88.8,5.8,4.4,3.6,3.4,3.3,2.1,2.0,1.0,0.7,0.1,,,,
George McCloud,88.3,5.8,3.8,3.3,3.2,2.6,2.4,2.3,1.4,0.9,0.1,-0.4,-0.7,,
Marco Belinelli,87.8,5.9,3.7,3.4,3.2,3.0,2.9,2.9,2.5,1.2,0.8,0.5,0.5,0.0,
Ernie Grunfeld,87.8,4.3,4.3,3.5,2.7,2.5,2.4,2.2,1.6,1.4,,,,,
Mike Glenn,87.4,4.4,3.9,2.9,2.9,2.8,2.8,2.1,1.9,1.5,0.1,,,,
Gary Harris,87.4,5.5,4.6,4.0,2.7,2.6,2.3,2.2,1.9,1.0,0.7,-0.7,,,
