"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Devonte' Graham,,3.4,3.4,2.8,2.5,0.5,0.1,,
Greivis VÃ¡squez,90.4,3.8,3.6,2.8,2.3,0.5,0.0,-0.3,
Bill Gabor,86.7,3.5,2.9,2.8,1.5,0.5,0.0,,
Ayo Dosunmu,86.5,4.1,3.0,2.9,2.5,,,,
Joe Hamilton,85.5,4.1,2.9,2.9,2.2,0.2,0.2,,
Eric Money,85.1,4.2,3.6,3.3,2.7,0.6,0.3,,
Otis Smith,84.7,3.6,3.5,3.3,2.5,-0.2,-0.4,,
Malik Monk,84.1,3.6,3.5,3.2,2.8,1.0,0.7,0.3,0.0
Tre Jones,82.8,4.9,3.4,2.9,2.9,0.4,,,
Pablo Prigioni,82.0,3.4,3.2,2.3,1.5,,,,
Andre Roberson,81.6,4.2,3.4,2.2,2.1,0.8,0.0,-0.1,
