"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Saddiq Bey,,4.0,3.9,3.5,3.3
Dave Stallworth,95.6,3.9,3.8,3.7,3.4
Popeye Jones,93.7,4.2,3.7,3.6,3.6
Craig Smith,92.7,3.9,3.5,3.1,3.0
Lionel Simmons,92.3,4.3,3.8,3.8,2.7
Jason Thompson,91.9,4.0,3.9,2.9,2.7
Dwight Jones,91.4,3.9,3.8,2.9,2.6
Louis Orr,91.0,4.3,4.3,3.8,3.5
Cliff Robinson,90.4,4.4,3.6,3.5,2.5
Glenn Robinson,90.3,4.7,3.5,3.2,3.1
DÄvis BertÄns,88.1,4.0,3.5,3.1,2.3
