Highlight,Unnamed: 1,In Stathead
"Career high, Points",51.0,View full stats from top 20 games
"Career high, Rebounds",17.0,View full stats from top 20 games
"Career high, Assists",8.0,View full stats from top 20 games
"Career high, Steals",5.0,View full stats from top 20 games
"Career high, Blocks",2.0,View full stats from top 20 games
"Career high, Game Score",44.8,View full stats from top 20 games
