2021-22,32,MIL,NBA,C,19,2,339,5.7,11.0,.519,1.4,3.9,.351,4.4,7.1,.612,.582,1.3,1.6,.800,2.3,8.3,10.6,1.4,0.4,0.7,1.1,4.9,14.1,
2022-23,33,MIL,NBA,C,16,0,185,5.1,10.5,.481,1.2,3.5,.333,3.9,7.0,.556,.537,1.6,2.5,.615,2.9,5.6,8.6,0.8,0.4,1.4,2.1,4.5,12.8,
2023-24,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
,,,,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
14 Yrs,14 Yrs,14 Yrs,14 Yrs,,919,697,25126,6.6,12.8,.513,0.9,2.4,.359,5.7,10.3,.550,.548,1.8,2.4,.757,2.7,6.6,9.3,1.1,0.5,2.5,1.7,3.6,15.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKC (7 Yrs),OKC (7 Yrs),OKC (7 Yrs),OKC (7 Yrs),,524,413,15099,6.1,11.7,.523,0.4,1.2,.355,5.7,10.4,.543,.542,1.8,2.4,.745,3.0,6.2,9.2,0.7,0.5,3.1,1.6,3.6,14.4,
TOR (4 Yrs),TOR (4 Yrs),TOR (4 Yrs),TOR (4 Yrs),,228,177,6300,7.5,14.9,.503,1.5,4.3,.356,6.0,10.6,.563,.555,2.0,2.6,.768,2.2,7.5,9.6,1.4,0.5,1.6,2.0,3.7,18.5,
LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),,76,49,1493,6.8,13.4,.503,1.5,4.3,.356,5.2,9.2,.571,.559,1.5,2.0,.768,2.7,7.5,10.2,2.7,0.4,1.8,1.9,3.2,16.5,
MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),,35,2,524,5.5,10.9,.506,1.3,3.8,.345,4.2,7.1,.592,.566,1.4,1.9,.714,2.5,7.4,9.9,1.2,0.4,1.0,1.4,4.7,13.7,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,56,56,1710,7.2,14.8,.488,1.7,4.5,.388,5.5,10.3,.532,.547,1.6,1.9,.846,2.1,5.9,8.0,1.3,0.7,1.9,1.4,2.9,17.8,
