"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'College')","('Unnamed: 3_level_0', 'G')","('Unnamed: 4_level_0', 'MP')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', '3P')","('Totals', '3PA')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'ORB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Shooting', 'FG%')","('Shooting', '3P%')","('Shooting', 'FT%')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')"
2002-03,20.0,PEPPERDINE,28,931,128,269,29,68,79,97,41,139,24,40,11,76,46,364,0.476,0.426,0.814,33.3,13.0,5.0,0.9
2003-04,21.0,PEPPERDINE,29,940,138,307,32,87,85,107,51,155,111,53,12,72,63,393,0.45,0.368,0.794,32.4,13.6,5.3,3.8
2004-05,22.0,PEPPERDINE,31,1152,183,407,59,137,91,106,44,201,114,40,15,82,58,516,0.45,0.431,0.858,37.2,16.6,6.5,3.7
Career,,,88,3023,449,983,120,292,255,310,136,495,249,133,38,230,167,1273,0.457,0.411,0.823,34.4,14.5,5.6,2.8
