"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Franz Wagner,,6.4,5.6,5.4,4.0
Dave Bing,95.2,6.2,5.3,5.3,4.5
Donovan Mitchell,93.3,6.2,5.4,5.2,5.0
Stephon Marbury,92.0,7.4,5.3,5.3,3.7
Dick McGuire,91.9,6.6,5.3,4.7,4.5
Mitch Richmond,91.7,7.1,5.6,5.2,4.9
Josh Childress,91.2,7.6,5.7,5.5,4.6
Nate McMillan,91.0,6.5,4.9,4.4,4.1
Michael Finley,90.6,7.5,6.3,5.4,3.9
Brandon Jennings,90.4,5.8,5.5,4.2,3.9
Willie Anderson,89.8,6.5,4.9,4.8,3.3
