"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Franz Wagner,,6.4,5.6,5.4,4.0,,,,,,,
Scottie Barnes,87.8,6.6,5.0,4.3,3.5,,,,,,,
Austin Reaves,87.2,7.6,5.9,5.4,2.9,,,,,,,
Jeff McInnis,84.6,6.9,5.1,4.9,4.1,1.1,0.3,0.3,0.2,0.1,0.1,-0.1
Larry Brown,84.3,6.6,5.8,5.1,5.0,2.4,,,,,,
Bob Donham,83.1,6.1,4.5,3.8,3.5,,,,,,,
Josh Childress,83.0,7.6,5.7,5.5,4.6,1.4,0.9,0.1,0.0,,,
Anthony Parker,80.3,6.5,6.2,4.9,3.4,1.5,1.4,0.4,0.2,0.0,,
Phil Ford,79.7,6.1,5.7,5.2,2.9,2.4,0.9,0.2,,,,
Geoff Petrie,79.3,6.2,5.4,5.3,4.6,4.5,0.1,,,,,
Lewis Lloyd,77.9,6.3,4.7,4.6,2.6,1.6,0.1,0.0,,,,
